# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
16 16 1.000000000000000e+00 1.000000000000000e+00 1.360544217687075e+00 7.350000000000000e-01 -2.007944210902301e+00 -1.973409256656848e+00 1.258869237887392e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.351351351351351e+00 7.400000000000000e-01 -2.007714743335633e+00 -1.974548060149992e+00 1.218848406921755e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.342281879194631e+00 7.450000000000000e-01 -2.007495826396517e+00 -1.975635889591961e+00 1.180164855779951e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.333333333333333e+00 7.500000000000000e-01 -2.007286917422586e+00 -1.976675176408274e+00 1.142768209708279e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.324503311258278e+00 7.549999999999999e-01 -2.007087503805546e+00 -1.977668225473450e+00 1.106610433270882e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.315789473684211e+00 7.599999999999999e-01 -2.006897101194483e+00 -1.978617222476876e+00 1.071645689561594e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.307189542483660e+00 7.650000000000000e-01 -2.006715251816167e+00 -1.979524240799676e+00 1.037830210132210e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.298701298701299e+00 7.700000000000000e-01 -2.006541522903956e+00 -1.980391247939969e+00 1.005122174659379e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.290322580645161e+00 7.750000000000000e-01 -2.006375505227616e+00 -1.981220111520624e+00 9.734815994751732e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.282051282051282e+00 7.800000000000000e-01 -2.006216811716936e+00 -1.982012604910670e+00 9.428702341755946e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.273885350318471e+00 7.850000000000000e-01 -2.006065076172599e+00 -1.982770412488818e+00 9.132514656040640e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.265822784810126e+00 7.900000000000000e-01 -2.005919952058257e+00 -1.983495134575179e+00 8.845902285752791e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.257861635220126e+00 7.950000000000000e-01 -2.005781111368220e+00 -1.984188292055073e+00 8.568529227692349e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.250000000000000e+00 8.000000000000000e-01 -2.005648243565609e+00 -1.984851330716830e+00 8.300073352809041e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.242236024844720e+00 8.050000000000000e-01 -2.005521054586183e+00 -1.985485625323752e+00 8.040225683602459e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.234567901234568e+00 8.100000000000001e-01 -2.005399265903420e+00 -1.986092483438741e+00 7.788689719212757e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.226993865030675e+00 8.149999999999999e-01 -2.005282613650777e+00 -1.986673149018634e+00 7.545180804402331e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.219512195121951e+00 8.200000000000001e-01 -2.005170847797297e+00 -1.987228805793972e+00 7.309425538951615e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.212121212121212e+00 8.250000000000000e-01 -2.005063731373080e+00 -1.987760580448682e+00 7.081161224341127e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.204819277108434e+00 8.300000000000000e-01 -2.004961039741324e+00 -1.988269545613062e+00 6.860135344848277e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.197604790419162e+00 8.350000000000000e-01 -2.004862559913925e+00 -1.988756722682405e+00 6.646105080464600e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.190476190476190e+00 8.400000000000000e-01 -2.004768089907798e+00 -1.989223084472734e+00 6.438836849248408e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.183431952662722e+00 8.450000000000000e-01 -2.004677438139311e+00 -1.989669557724214e+00 6.238105876948611e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.176470588235294e+00 8.500000000000000e-01 -2.004590422854400e+00 -1.990097025462042e+00 6.043695791916040e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.169590643274854e+00 8.550000000000001e-01 -2.004506871592085e+00 -1.990506329223924e+00 5.855398243487326e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.162790697674419e+00 8.600000000000000e-01 -2.004426620679284e+00 -1.990898271162565e+00 5.673012542175416e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.156069364161850e+00 8.649999999999999e-01 -2.004349514754968e+00 -1.991273616031024e+00 5.496345320144369e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.149425287356322e+00 8.700000000000001e-01 -2.004275406321801e+00 -1.991633093058204e+00 5.325210210566705e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.142857142857143e+00 8.750000000000000e-01 -2.004204155323586e+00 -1.991977397721264e+00 5.159427544572127e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.136363636363636e+00 8.799999999999999e-01 -2.004135628746895e+00 -1.992307193421246e+00 4.998824064609259e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.129943502824859e+00 8.850000000000000e-01 -2.004069700245428e+00 -1.992623113067787e+00 4.843232653126401e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.123595505617978e+00 8.899999999999999e-01 -2.004006249785675e+00 -1.992925760578432e+00 4.692492075553291e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.117318435754190e+00 8.950000000000000e-01 -2.003945163312617e+00 -1.993215712297566e+00 4.546446736683323e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.111111111111111e+00 8.999999999999999e-01 -2.003886332434242e+00 -1.993493518339832e+00 4.404946449563776e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.104972375690608e+00 9.049999999999999e-01 -2.003829654123732e+00 -1.993759703862391e+00 4.267846216129579e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.098901098901099e+00 9.100000000000001e-01 -2.003775030438285e+00 -1.994014770270241e+00 4.135006018830181e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.092896174863388e+00 9.150000000000001e-01 -2.003722368253562e+00 -1.994259196358450e+00 4.006290622576096e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.086956521739130e+00 9.200000000000000e-01 -2.003671579012837e+00 -1.994493439394952e+00 3.881569386371468e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.081081081081081e+00 9.250000000000002e-01 -2.003622578489985e+00 -1.994717936147285e+00 3.760716084055752e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.075268817204301e+00 9.300000000000000e-01 -2.003575286565495e+00 -1.994933103856490e+00 3.643608733597289e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.069518716577540e+00 9.350000000000002e-01 -2.003529627014736e+00 -1.995139341161119e+00 3.530129434453407e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.063829787234043e+00 9.400000000000001e-01 -2.003485527307774e+00 -1.995337028974182e+00 3.420164212506100e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.058201058201058e+00 9.449999999999998e-01 -2.003442918420065e+00 -1.995526531315622e+00 3.313602872158943e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.052631578947368e+00 9.500000000000001e-01 -2.003401734653396e+00 -1.995708196102815e+00 3.210338855167934e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.047120418848168e+00 9.550000000000000e-01 -2.003361913466480e+00 -1.995882355901383e+00 3.110269105842439e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.041666666666667e+00 9.600000000000000e-01 -2.003323395314666e+00 -1.996049328638493e+00 3.013293942253103e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.036269430051814e+00 9.649999999999999e-01 -2.003286123498226e+00 -1.996209418280694e+00 2.919316933120721e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.030927835051547e+00 9.699999999999999e-01 -2.003250044018746e+00 -1.996362915478197e+00 2.828244780074140e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.025641025641026e+00 9.749999999999999e-01 -2.003215105443158e+00 -1.996510098177405e+00 2.739987204995462e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.020408163265306e+00 9.800000000000000e-01 -2.003181258774978e+00 -1.996651232203392e+00 2.654456842172161e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.015228426395939e+00 9.850000000000001e-01 -2.003148457332353e+00 -1.996786571813934e+00 2.571569135010867e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.010101010101010e+00 9.900000000000000e-01 -2.003116656632532e+00 -1.996916360226576e+00 2.491242237076817e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.005025125628141e+00 9.950000000000001e-01 -2.003085814282406e+00 -1.997040830120176e+00 2.413396917229843e-02
16 16 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 -2.003055889874773e+00 -1.997160204112251e+00 2.337956468654137e-02
