Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
70	:	1671204376.170	     2.421	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.4388489208633095
71	:	1671204376.242	     2.428	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.4285714285714286
72	:	1671204376.314	     2.422	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.4184397163120568
73	:	1671204376.385	     2.411	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.4084507042253522
74	:	1671204376.452	     2.417	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.3986013986013988
75	:	1671204376.529	     2.427	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.3888888888888888
76	:	1671204376.606	     2.453	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.3793103448275863
77	:	1671204376.679	     2.459	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.36986301369863
78	:	1671204376.762	     2.439	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.3605442176870748
79	:	1671204376.842	     2.447	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.3513513513513513
80	:	1671204376.926	     2.438	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.342281879194631
81	:	1671204377.001	     2.424	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.3333333333333333
82	:	1671204377.074	     2.420	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.3245033112582782
83	:	1671204377.134	     2.424	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.3157894736842106
84	:	1671204377.200	     2.428	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.3071895424836601
85	:	1671204377.277	     2.417	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2987012987012987
86	:	1671204377.360	     2.395	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2903225806451613
87	:	1671204377.442	     2.381	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.282051282051282
88	:	1671204377.505	     2.395	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2738853503184713
89	:	1671204377.571	     2.403	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2658227848101264
90	:	1671204377.654	     2.398	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2578616352201257
91	:	1671204377.733	     2.386	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.25
92	:	1671204377.900	     2.309	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2422360248447204
93	:	1671204377.992	     2.294	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2345679012345678
94	:	1671204378.064	     2.301	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2269938650306749
95	:	1671204378.132	     2.311	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2195121951219512
96	:	1671204378.205	     2.310	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2121212121212122
97	:	1671204378.283	     2.302	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.2048192771084338
98	:	1671204378.357	     2.293	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1976047904191618
99	:	1671204378.443	     2.281	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1904761904761905
100	:	1671204378.503	     2.305	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.183431952662722
101	:	1671204378.591	     2.296	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1764705882352942
102	:	1671204378.670	     2.286	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1695906432748537
103	:	1671204378.736	     2.279	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1627906976744187
104	:	1671204378.796	     2.299	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1560693641618498
105	:	1671204378.868	     2.296	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1494252873563218
106	:	1671204378.955	     2.285	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1428571428571428
107	:	1671204379.060	     2.246	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1363636363636365
108	:	1671204379.137	     2.251	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1299435028248588
109	:	1671204379.202	     2.267	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1235955056179776
110	:	1671204379.288	     2.252	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1173184357541899
111	:	1671204379.365	     2.257	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1111111111111112
112	:	1671204379.425	     2.271	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.1049723756906078
113	:	1671204379.493	     2.286	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0989010989010988
114	:	1671204379.559	     2.292	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0928961748633879
115	:	1671204379.628	     2.292	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0869565217391304
116	:	1671204379.694	     2.292	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.081081081081081
117	:	1671204379.754	     2.305	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.075268817204301
118	:	1671204379.824	     2.301	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.06951871657754
119	:	1671204379.901	     2.300	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0638297872340425
120	:	1671204379.974	     2.312	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0582010582010584
121	:	1671204380.051	     2.313	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0526315789473684
122	:	1671204380.119	     2.318	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0471204188481675
123	:	1671204380.208	     2.312	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0416666666666667
124	:	1671204380.286	     2.299	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0362694300518136
125	:	1671204380.364	     2.299	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0309278350515465
126	:	1671204380.442	     2.305	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0256410256410258
127	:	1671204380.514	     2.299	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0204081632653061
128	:	1671204380.586	     2.312	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.015228426395939
129	:	1671204380.650	     2.334	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0101010101010102
130	:	1671204380.724	     2.328	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0050251256281406
131	:	1671204380.808	     2.304	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.0
132	:	1671204380.886	     2.299	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.857142857142857
133	:	1671204380.955	     2.300	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.8169014084507045
134	:	1671204381.015	     2.305	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.7777777777777777
135	:	1671204381.095	     2.286	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.73972602739726
136	:	1671204381.165	     2.288	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.7027027027027026
137	:	1671204381.239	     2.290	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.6666666666666665
138	:	1671204381.305	     2.305	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.6315789473684212
139	:	1671204381.388	     2.299	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.5974025974025974
140	:	1671204381.468	     2.299	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.564102564102564
141	:	1671204381.540	     2.308	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.531645569620253
142	:	1671204381.623	     2.303	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.5
143	:	1671204381.695	     2.345	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.4691358024691357
144	:	1671204381.779	     2.339	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.4390243902439024
145	:	1671204381.851	     2.365	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.4096385542168677
146	:	1671204381.920	     2.363	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.380952380952381
147	:	1671204381.986	     2.366	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.3529411764705883
148	:	1671204382.059	     2.378	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.3255813953488373
149	:	1671204382.124	     2.381	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.2988505747126435
